TilID Xstart Ystart UZ  EPSG   MinLon    MaxLon   MinLat    MaxLat
01JGM 699960 7200040 1S  32701 -175.0138 -173.8985 -26.2937  -25.2841 
01JGN 699960 7300000 1S  32701 -175.0281 -173.9219 -25.3916  -24.3826 
01JHM 799980 7200040 1S  32701 -174.0212 -172.8988 -26.2762  -25.2601 
01JHN 799980 7300000 1S  32701 -174.0427 -172.9298 -25.3748  -24.3596 
01KAA 99960 8100040 1S  32701 179.2204  180       -18.153   -17.1494 
01KAB 99960 8200000 1S  32701 179.2392  180       -17.2505  -16.2478 
01KAP 99960 7400020 1S  32701 179.0551  180       -24.4715  -23.4608 
01KAQ 99960 7500040 1S  32701 179.0825  180       -23.5689  -22.5594 
01KAR 99960 7600000 1S  32701 179.1086  180       -22.6668  -21.6584 
01KAS 99960 7700020 1S  32701 179.1334  180       -21.764   -20.7567 
01KAT 99960 7800040 1S  32701 179.157   180       -20.8612  -19.8549 
01KAU 99960 7900000 1S  32701 179.1793  180       -19.9589  -18.9536 
01KAV 99960 8000020 1S  32701 179.2004  180       -19.056   -18.0516 
01KBA 199980 8100040 1S  32701 -179.8356 -178.7885 -18.1685  -17.1647 
01KBB 199980 8200000 1S  32701 -179.8215 -178.7801 -17.2654  -16.2622 
01KBP 199980 7400020 1S  32701 -179.9598 -178.8628 -24.4901  -23.4823 
01KBQ 199980 7500040 1S  32701 -179.9392 -178.8504 -23.5872  -22.58   
01KBR 199980 7600000 1S  32701 -179.9196 -178.8387 -22.6847  -21.6781 
01KBS 199980 7700020 1S  32701 -179.9009 -178.8275 -21.7815  -20.7755 
01KBT 199980 7800040 1S  32701 -179.8833 -178.8169 -20.8783  -19.8728 
01KBU 199980 7900000 1S  32701 -179.8665 -178.8069 -19.9755  -18.9706 
01KBV 199980 8000020 1S  32701 -179.8506 -178.7974 -19.072   -18.0677 
01KCA 300000 8100040 1S  32701 -178.8908 -177.8482 -18.175   -17.1757 
01KCB 300000 8200000 1S  32701 -178.8813 -177.8442 -17.2716  -16.2726 
01KCP 300000 7400020 1S  32701 -178.9736 -177.8835 -24.4991  -23.4977 
